_time,NodeName,CellName,ConnEstabAtt,ConnEstabSucc,ConnEstabTimeAvg,IntraFreqOutSucc,IntraFreqOutAtt,InterFreqMeasGapOutAtt,InterFreqNoMeasGapOutAtt,IntraFreqOutPrepSucc,InterFreqMeasGapOutPrepSucc,ConnReEstabAtt,ConnReEstabSucc,EutranIpThroughput,ULIpThruAvg,TotPrbDLAvg,TotPrbULAvg,PdcpSduDelayAvg,PdcpSduDropRateDL,PdcpSduLossRateUl,DLReceivedCQI1,DLReceivedCQI2,DLReceivedCQI3,DLReceivedCQI4,DLReceivedCQI5,DLReceivedCQI6,DLReceivedCQI7,DLReceivedCQI8,DLReceivedCQI9,DLReceivedCQI10,DLReceivedCQI11,DLReceivedCQI12,DLReceivedCQI13,DLReceivedCQI14,DLReceivedCQI15,DLReceivedCQI1_256QAM,DLReceivedCQI15_256QAM,InterferencePowerAvg,PucchInterferencePowerAvg,RssiPathAvg,DLReceivedRI1,DLReceivedRI4,EnbQciDLThru,EnbQciULThru,DLTransmittedMCS0,DLTransmittedMCS1,DLTransmittedMCS2,DLTransmittedMCS3,DLTransmittedMCS4,DLTransmittedMCS5,DLTransmittedMCS6,DLTransmittedMCS7,DLTransmittedMCS8,DLTransmittedMCS9,DLTransmittedMCS10,DLTransmittedMCS11,DLTransmittedMCS12,DLTransmittedMCS13,DLTransmittedMCS14,DLTransmittedMCS15,DLTransmittedMCS16,DLTransmittedMCS17,DLTransmittedMCS18,DLTransmittedMCS19,DLTransmittedMCS20,DLTransmittedMCS21,DLTransmittedMCS22,DLTransmittedMCS23,DLTransmittedMCS24,DLTransmittedMCS25,DLTransmittedMCS26,DLTransmittedMCS27,DLTransmittedMCS28,DLTransmittedMcs0_256QAM,DLTransmittedMcs27_256QAM,ULReceivedMCS0,ULReceivedMCS1,ULReceivedMCS2,ULReceivedMCS3,ULReceivedMCS4,ULReceivedMCS5,ULReceivedMCS6,ULReceivedMCS7,ULReceivedMCS8,ULReceivedMCS9,ULReceivedMCS10,ULReceivedMCS11,ULReceivedMCS12,ULReceivedMCS13,ULReceivedMCS14,ULReceivedMCS15,ULReceivedMCS16,ULReceivedMCS17,ULReceivedMCS18,ULReceivedMCS19,ULReceivedMCS20,ULReceivedMCS21,ULReceivedMCS22,ULReceivedMCS23,ULReceivedMCS24,ULReceivedMCS25,ULReceivedMCS26,ULReceivedMCS27,ULReceivedMCS28,DLResidualBlerRetrans0,DLResidualBlerRetrans0_256QAM,ULResidualBlerRetrans0,ConnNoMax,ConnNoAvg,RACHUsageAvg,RandomlySelectedPreamblesLow,RandomlySelectedPreamblesHigh,RruCceUsageDistUL2,RruCceUsageDistDL2,AttPaging,DiscardedNbr,UEActiveDLAvg,UEActiveULAvg,EstabInitAttNbr,EstabInitSuccNbr,EstabAddAttNbr,SCellAddAtt_RrcSig,SCellAddAtt_RrcResetup,SCellAddAtt_AddSbcRrcSig,SCellAddAtt_AddSbcRrcResetup,SCellAddAtt_EventA4,SCellAddSucc_RrcSig,SCellAddSucc_RrcResetup,SCellAddSucc_AddSbcRrcSig,SCellAddSucc_AddSbcRrcResetup,SCellAddSucc_EventA4,SCellAddAtt_HoIn,SCellAddAtt_AddSbcHoIn,SCellAddSucc_HoIn,SCellAddSucc_AddSbcHoIn,SCellActUEMax,SCellActUEAvg,UsageNbrMax,MlbHOSucc,LoadBinAvg,LoadBinCnt,InterFreqMeasGapOutSucc,InterFreqNoMeasGapOutSucc
2022-12-04T00:00:00.000-05:00,LTSQC0210079,LTSQC0210079-003-2100-1-4,133,133,89.70,0,0,13,0,0,13,0,0,24224.20,957.87,2.11,11.52,46.79,0.00,28536.34,41,22,63,16,34,196,631,3297,3373,3356,7820,19931,12501,3781,1088,22,7520,-118.51,-118.51,-94.84,0,0,30.74,618.88,6429,5101,712,7376,1534,291,147,17870,549,3391,0,848,1941,13551,2661,3912,303,0,71,401,563,305,9,34,11,0,0,0,0,2439,13,86.00,1752.00,938.00,528868.00,641.00,2002.00,12425.00,10083.00,14906.00,22673.00,95157.00,0.00,49813.00,23159.00,11224.00,9407.00,15074.00,20584.00,16396.00,12216.00,21018.00,0.00,14204.00,21031.00,61643.00,491.00,240.00,79.00,0.00,4.77,5.73,29.14,17.00,7.82,0.11,132.00,1.00,214303.00,27251.00,20497,0,1.33,1.29,213,213,2,88,0,0,0,0,88,0,0,0,0,0,0,0,0,3.00,0.11,28.00,0,174.81,439.00,12,0
2022-12-04T00:00:00.000-05:00,LTSQC0210079,LTSQC0210079-004-2100-1-5,118,118,96.01,0,0,0,0,0,0,0,0,42895.74,826.17,2.84,1.19,45.38,0.00,0.00,46,50,37,30,7,18,37,66,132,608,2366,311,827,527,28129,626,1331,-118.34,-118.27,-95.90,0,0,361.39,55.25,2070,31,0,0,0,2,2,8766,3,6,0,0,2,175,5,15,33,0,3,42,21,411,35,41,43,80,570,63,30,642,0,0.00,3184.00,1563.00,2972.00,740.00,1430.00,1524.00,1538.00,1694.00,2036.00,5913.00,0.00,4148.00,3192.00,2743.00,3324.00,7905.00,11190.00,4634.00,1861.00,9052.00,0.00,1278.00,75714.00,3546.00,27.00,44.00,1.00,0.00,0.32,7.41,3.96,10.00,6.70,0.08,117.00,1.00,23755.00,13887.00,20491,0,0.22,0.23,167,167,1,63,0,0,0,0,63,0,0,0,0,0,0,0,0,2.00,0.08,19.00,0,2.51,439.00,0,0
2022-12-04T00:00:00.000-05:00,LTSQC0210079,LTSQC0210079-005-2100-1-6,40,40,46.55,2,2,0,0,2,0,0,0,61517.23,5084.75,1.81,0.80,33.72,0.00,0.00,0,0,0,0,2,0,1,2,0,2,3,6,18,18,4608,1,3809,-120.16,-120.11,-98.29,0,0,58.72,66.43,395,0,0,0,0,1,0,400,0,0,0,0,0,0,0,0,0,0,1,102,22,36,21,59,78,41,30,52,0,278,713,1594.00,762.00,1126.00,1049.00,1047.00,1196.00,994.00,1007.00,791.00,697.00,879.00,0.00,314.00,356.00,560.00,416.00,585.00,1079.00,1329.00,1500.00,3254.00,0.00,768.00,1207.00,74.00,290.00,83.00,63.00,77.00,0.32,4.81,8.66,3.00,1.61,0.05,61.00,4.00,4068.00,1502.00,20497,0,0.03,0.03,57,57,1,19,0,0,0,0,19,0,0,0,0,0,0,0,0,1.00,0.03,5.00,0,12.62,439.00,0,0
2022-12-04T00:00:00.000-05:00,LTSQC0210079,LTSQC0210079-043-1900-1-4,291,291,101.91,21,27,11,0,27,11,6,5,72027.11,704.05,3.06,1.54,51.04,0.00,58973.90,36,55,75,61,68,65,81,64,108,99,78,158,187,272,9840,36,34126,-119.06,-115.47,-95.22,0,0,268.01,62.00,6945,22,5,2,3,9,3,2773,7,81,0,0,1,1,1,1,2,0,2,49,122,98,36,84,323,79,337,148,156,3149,32296,529.00,3592.00,2464.00,17750.00,1252.00,1372.00,7356.00,4415.00,3664.00,5233.00,11447.00,1087.00,6887.00,6075.00,6893.00,7334.00,13334.00,5895.00,17245.00,14766.00,18297.00,4272.00,8118.00,11067.00,17477.00,8700.00,11712.00,15022.00,1356.00,5.09,4.38,7.93,18.00,11.19,0.31,300.00,16.00,148341.00,50180.00,20471,0,0.73,1.01,562,562,6,263,0,0,0,0,263,0,0,0,0,9,0,9,0,3.00,0.35,37.00,0,2.43,439.00,11,0
2022-12-04T00:00:00.000-05:00,LTSQC0210079,LTSQC0210079-044-1900-1-5,370,370,98.81,11,11,3,0,11,3,5,5,30563.26,209.55,2.82,2.00,62.75,0.00,3979.94,665,79,79,68,55,79,131,294,1823,2339,211,399,1625,1496,2310,165,8175,-119.23,-118.64,-95.76,0,0,312.10,72.75,4604,10,5,194,23,58,81,7147,94,253,0,10,14,47,1,6,22,0,4,18,29,7,3,20,6,7,36,5,0,3857,90,2213.00,10070.00,80463.00,107013.00,46131.00,36736.00,14051.00,8639.00,7858.00,5726.00,13694.00,0.00,6699.00,5462.00,4243.00,4618.00,5045.00,5531.00,4849.00,4580.00,10841.00,0.00,4334.00,2779.00,12698.00,387.00,197.00,127.00,0.00,4.82,6.91,9.61,19.00,11.86,0.38,377.00,13.00,72273.00,15810.00,20465,0,0.61,0.98,636,636,10,296,2,0,0,0,296,2,0,0,0,8,0,8,0,4.00,0.46,37.00,0,2.58,439.00,3,0
2022-12-04T00:00:00.000-05:00,LTSQC0210079,LTSQC0210079-045-1900-1-6,25,25,53.33,0,0,0,0,0,0,1,1,48269.52,648.60,1.34,0.11,41.85,0.00,0.00,1,1,6,3,0,3,5,17,60,53,18,14,39,31,215,0,1845,-119.28,-118.83,-96.17,0,0,51.38,5.25,250,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,649,123.00,789.00,589.00,580.00,861.00,576.00,676.00,706.00,528.00,577.00,863.00,0.00,347.00,223.00,231.00,319.00,378.00,882.00,1010.00,721.00,1153.00,0.00,356.00,530.00,1.00,24.00,0.00,0.00,0.00,8.00,2.31,9.07,3.00,0.64,0.02,27.00,0.00,11311.00,2497.00,20471,0,0.02,0.02,46,46,0,26,1,0,0,0,26,1,0,0,0,2,0,2,0,2.00,0.04,6.00,0,1.31,439.00,0,0
2022-12-04T00:15:00.000-05:00,LTSQC0210079,LTSQC0210079-003-2100-1-4,101,101,87.98,0,0,11,0,0,11,1,1,14702.62,509.70,1.83,1.64,45.50,0.00,11908.34,42,14,17,10,6,4,16,74,252,327,1189,3856,838,200,783,36,4936,-118.51,-118.52,-96.35,0,0,13.38,19.61,3560,122,0,0,1,1,0,476,0,9,0,4,1,10,25,152,133,0,60,27,35,34,6,4,2,0,1,0,0,1050,0,2.00,128.00,636.00,555.00,263.00,262.00,4973.00,2292.00,1693.00,1891.00,4863.00,0.00,3178.00,3519.00,2918.00,3280.00,3377.00,3141.00,3056.00,3902.00,8957.00,0.00,2644.00,3049.00,57104.00,0.00,0.00,0.00,0.00,3.35,4.46,4.57,8.00,4.25,0.08,101.00,3.00,12105.00,3440.00,18201,0,0.20,0.29,150,150,2,61,1,0,0,0,61,1,0,0,0,0,0,0,0,2.00,0.08,16.00,0,2.78,439.00,11,0
2022-12-04T00:15:00.000-05:00,LTSQC0210079,LTSQC0210079-004-2100-1-5,95,95,93.90,0,0,0,0,0,0,0,0,48569.52,3611.29,4.34,1.23,34.26,0.00,0.00,34,47,24,14,15,12,10,52,70,577,2667,405,799,761,27495,379,870,-118.31,-118.03,-95.74,0,0,725.53,66.98,1820,24,0,0,1,3,0,8897,3,2,0,2,6,157,2,19,23,0,4,36,21,384,27,30,27,94,598,67,37,365,0,730.00,38.00,549.00,129.00,3.00,40.00,49.00,57.00,100.00,120.00,729.00,0.00,866.00,1928.00,2112.00,1904.00,7635.00,12792.00,3532.00,1932.00,10210.00,0.00,3810.00,86446.00,4100.00,3011.00,1209.00,1141.00,365.00,0.53,6.57,3.09,10.00,6.50,0.06,95.00,0.00,35473.00,38235.00,18204,0,0.49,0.21,131,131,3,49,0,0,0,0,49,0,0,0,0,0,0,0,0,2.00,0.06,17.00,0,3.56,439.00,0,0
2022-12-04T00:15:00.000-05:00,LTSQC0210079,LTSQC0210079-005-2100-1-6,19,19,48.32,0,0,0,0,0,0,0,0,18755.55,2181.82,1.66,0.01,37.47,0.00,0.00,0,1,0,0,0,0,0,0,0,0,0,0,1,5,4885,1,231,-120.15,-120.09,-98.42,0,0,0.58,0.33,334,0,0,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,78,26,35,32,39,65,77,12,19,0,19,0,0.00,0.00,79.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,32.00,34.00,216.00,105.00,132.00,766.00,0.00,47.00,289.00,6.00,0.00,0.00,0.00,0.00,0.17,3.70,0.16,2.00,1.08,0.01,19.00,0.00,726.00,265.00,18208,0,0.01,0.00,21,21,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,1.00,0.01,3.00,0,1.85,439.00,0,0
2022-12-04T00:15:00.000-05:00,LTSQC0210079,LTSQC0210079-043-1900-1-4,239,239,98.24,8,8,10,0,8,10,1,1,31181.27,477.24,1.67,1.58,49.15,0.00,11784.26,36,55,46,49,50,34,43,47,73,92,154,121,180,105,7517,35,13337,-119.06,-115.48,-95.48,0,0,119.19,46.80,4371,25,0,8,2,8,0,2004,3,19,0,0,0,4,0,2,12,0,7,36,102,29,7,20,81,16,79,24,46,3156,3626,182.00,642.00,2082.00,3235.00,882.00,1087.00,9005.00,3378.00,2926.00,3717.00,6161.00,0.00,2812.00,2829.00,3374.00,2919.00,3098.00,4044.00,3656.00,3891.00,9732.00,1453.00,4830.00,10593.00,73565.00,7636.00,9049.00,14630.00,1933.00,4.93,4.64,5.33,15.00,8.28,0.23,249.00,2.00,65612.00,12159.00,18180,0,0.42,0.85,454,454,2,207,0,0,0,0,207,0,0,0,0,5,0,5,0,4.00,0.26,32.00,0,1.86,439.00,10,0
