Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,"1,758","2,074","1,853","1,589","1,444","1,414","1,571","2,796","4,026","4,198"
Albania,"3,615","3,538","3,131","3,237","2,813","2,170","2,205","2,779","2,308","3,314"
Algeria,891,841,928,943,"1,035",949,919,"1,235","1,063","1,417"
American Samoa,180,265,187,296,285,216,182,281,177,173
Angola,166,143,145,132,131,125,147,136,94,137
Anguilla,30,26,18,31,16,20,34,25,19,26
Antigua and Barbuda,390,366,358,381,383,311,356,386,265,336
Argentina,"3,909","4,177","3,683","3,886","4,015","3,486","3,978","3,958","2,884","3,968"
Armenia,"3,285","3,203","2,488","2,874","2,516","1,994","2,085","2,327","1,852","3,525"
Aruba,27,42,28,37,28,32,33,54,37,33
Australia,"1,312","1,296","1,159","1,379","1,389","1,235","1,545","1,838","1,436","2,042"
Austria,241,248,223,207,221,177,238,214,160,169
Azerbaijan,958,786,585,568,574,483,512,597,451,568
Bahamas,647,681,545,570,590,481,591,640,481,697
Bahrain,93,76,90,79,80,77,86,116,79,107
Bangladesh,"8,417","9,571","7,475","9,750","9,949","8,630","7,800","9,069","6,883","10,110"
Barbados,687,683,550,646,651,645,556,625,399,641
Belarus,"1,896","1,797","1,437","1,710","1,518","1,313","1,393","1,730","1,302","1,676"
Belgium,522,513,408,505,514,493,521,575,430,515
Belize,817,966,773,851,870,810,859,951,669,"1,051"
Benin,210,206,229,310,317,309,249,343,297,354
Bermuda,65,59,67,66,61,65,70,64,52,64
Bhutan,42,275,"2,639","4,562","5,563","5,558","6,193","6,921","4,536","3,939"
Bolivia,"2,063","1,961","1,527","1,689","1,862","1,806","1,575","1,679","1,208","1,601"
Bosnia and Herzegovina,"4,904","3,662","2,509","3,304","2,257","1,780","1,808","1,710","1,059","1,197"
Botswana,11,29,24,28,29,27,38,41,34,47
Brazil,"9,884","9,565","8,625","10,516","10,268","9,702","10,547","10,451","8,323","12,448"
Brunei,17,11,15,13,10,11,15,26,19,20
Bulgaria,"2,964","2,646","2,226","2,336","2,086","1,887","1,826","2,251","1,656","2,134"
Burkina Faso,166,230,235,307,322,303,347,426,376,510
Burma,"2,384","3,489","4,225","6,045","6,956","6,827","7,869","11,680","9,183","8,195"
Burundi,209,379,415,437,406,266,285,394,280,382
